epoch,train_loss,train_iou,train_dice,train_leakage,val_loss,val_iou,val_dice,val_leakage,learning_rate,seconds,peak_gpu_memory_gb
1,1.0717096227601774,0.13891271071908023,0.20667337348793016,0.17593075921356266,0.9862105009239468,0.15619570536070784,0.2327003461321838,0.1483421232611616,0.001,64.88796162605286,0.7728233337402344
2,0.9203811111935228,0.1963463068997679,0.2814031988554374,0.1425190652123693,0.8718746274291762,0.21412159493665223,0.30377204671196695,0.12504055969891295,0.001,56.349180459976196,0.736750602722168
3,0.843590878924067,0.23585165240118006,0.32979371948218383,0.13910146385081068,0.827280989035305,0.23925749564537338,0.3316298719684412,0.12714576160991334,0.001,55.61274003982544,0.736750602722168
4,0.8032791584564266,0.256605798912122,0.3545122225710475,0.13620909690903418,0.8129023857487058,0.2494736764712627,0.34638379478853243,0.1423473014881053,0.001,54.86761164665222,0.736750602722168
5,0.7783582700313111,0.2701955142635637,0.37023398800759266,0.13217926539973548,0.7911869162108905,0.26113017088258406,0.3593345330596099,0.14169012754351834,0.001,55.10486173629761,0.736750602722168
6,0.7601208408547218,0.2802311658341554,0.38197410686700467,0.1297468777832663,0.795676880927019,0.2566359546899538,0.35170002218974833,0.11235253056742356,0.001,54.34170722961426,0.736750602722168
7,0.7451106786319579,0.28905787713918213,0.3922699275696866,0.12777980081101312,0.790249962958446,0.2632096950225974,0.3609986673023837,0.12461426930487991,0.001,56.56481742858887,0.736750602722168
8,0.7324201007619663,0.2964080702756128,0.40074626809577707,0.12581443806256967,0.7852340451850603,0.2758247987995127,0.37400936488837744,0.12549158170851432,0.001,57.15714764595032,0.736750602722168
9,0.7198910649139675,0.3044462666572639,0.4097888588883004,0.12325194436523074,0.7914436005594404,0.26498552349103693,0.3642950455347697,0.12889583199862653,0.001,55.35607361793518,0.736750602722168
10,0.706996704800879,0.3112524356238448,0.4177484508063554,0.12331815212384536,0.7975671765873733,0.27665268458594783,0.3741958631280942,0.13118756090681657,0.001,55.21621632575989,0.736750602722168
11,0.6971401556623595,0.3179046554747609,0.4254981240017114,0.1225115587929497,0.8172154040784126,0.2826983216334187,0.37927998697230475,0.12277667885073566,0.001,55.34973931312561,0.736750602722168
12,0.6866800841865747,0.3237955473826868,0.43212938973339143,0.12000572175306246,0.7923535797845456,0.28262730732061847,0.3794138557252503,0.12352713474756691,0.001,54.296648263931274,0.736750602722168
13,0.6775170795938948,0.32917333774770374,0.438272651041806,0.12047159778923425,0.7920594641048674,0.27774051230445007,0.3762579361597697,0.12627865865167548,0.001,56.48919320106506,0.736750602722168
14,0.6680490898680589,0.33521357684355935,0.4451607646993325,0.11904107789951104,0.8198953626482489,0.2812638860256155,0.3776531786514203,0.11951846500784319,0.0005,54.47752833366394,0.736750602722168
15,0.6353447947547927,0.35477632230024786,0.4660379002601614,0.11246709430553131,0.8433437559596929,0.2864838914971843,0.3804485216383152,0.1104636349129574,0.0005,54.81681036949158,0.736750602722168
16,0.6237713164003976,0.36342170329967166,0.4754434635676888,0.11089184951388985,0.8417420798778019,0.2837007738802554,0.3789067401951571,0.12148792745933307,0.0005,55.00601387023926,0.736750602722168
17,0.6154971349727153,0.36895740685152917,0.48149937242169255,0.11012542856897284,0.8819102636561553,0.28845579728500226,0.38321742728883007,0.12412292797604682,0.0005,54.48776602745056,0.736750602722168
18,0.608873337913751,0.3735054906730412,0.4864692678290541,0.10982706532408872,0.9043573692778554,0.2816614252037922,0.37510592320043806,0.12258235379619506,0.0005,54.97967863082886,0.736750602722168
19,0.6024757016087186,0.37799157949534895,0.4913345706799,0.10925949332944587,0.8911193368761542,0.285299330399228,0.37967894748737385,0.1200030464779469,0.0005,55.51308083534241,0.736750602722168
20,0.5971246530567953,0.3818850703043007,0.4954382291725487,0.10829362665956498,0.9356747756369549,0.28044466365695386,0.3744603563200566,0.12274902477908675,0.00025,53.98965501785278,0.736750602722168
21,0.5784428491709946,0.39489357006284426,0.5088519671782272,0.10584189275188383,0.9501972170195019,0.2857489670107408,0.37943239589628663,0.11814548575119421,0.00025,55.18983221054077,0.736750602722168
22,0.5712466907323307,0.4008316116049659,0.5149504024032073,0.1051094671779114,0.9808764231372162,0.28299902241673025,0.3757240019312697,0.11698679469662449,0.00025,54.385602951049805,0.736750602722168
