split,query,samples,iou,dice,leakage
test_seen,back,5,0.7321564674377441,0.8445141911506653,0.07825943902134892
test_seen,body,110,0.5412922228940509,0.6591268667485565,0.2321687373586676
test_seen,cap,53,0.22189970897897235,0.3070488653655322,0.3975162011623945
test_seen,chainwheel,32,0.1392825797665864,0.2175543170887977,0.4369296277873218
test_seen,coach,36,0.19234711760590367,0.22855536635163137,0.16324692373422697
test_seen,door,18,0.3440377335581514,0.4752755131986406,0.03340733277663171
test_seen,ear,237,0.2447117700984206,0.34332618990496494,0.25148098757426657
test_seen,engine,33,0.341270910561875,0.4708464150740342,0.1907838555899533
test_seen,eye,217,0.10614526224395576,0.16326234768646927,0.03411322476209274
test_seen,eyebrow,65,0.02603602887202913,0.045198253126671674,0.00035129145432549996
test_seen,foot,55,0.13517907705496657,0.20702249827710065,0.5239350560036573
test_seen,front,60,0.5569877326488495,0.6855077723662059,0.13706555645912882
test_seen,hair,85,0.339808552279411,0.44253497657311314,0.2733201097477884
test_seen,hand,90,0.2020581136147181,0.2923139091167185,0.3482802975612382
test_seen,handlebar,34,0.09855719399638471,0.16748315336949682,0.626867900876438
test_seen,head,331,0.3905836269210214,0.5001887683601898,0.16633208765855106
test_seen,headlight,33,0.1159745385926781,0.18545036898417905,0.042619995659951
test_seen,hoof,20,0.09093940970487889,0.15049560274928805,0.6936175361275673
test_seen,horn,16,0.13198061005095948,0.21080673742108044,0.2481730005238205
test_seen,leg,222,0.32385853427550904,0.45225671869477146,0.2973214257382662
test_seen,license plate,3,0.0,0.0,0.0
test_seen,lower arm,103,0.23684527285541723,0.33419831419020024,0.24482792210358292
test_seen,mirror,25,0.09504404984414574,0.14644430212676524,0.1019558625668287
test_seen,mouth,76,0.10185960670442956,0.15442352212573351,0.06374396790603273
test_seen,muzzle,82,0.4472056153434806,0.5628587437748183,0.20974167609848532
test_seen,neck,176,0.31968549571254035,0.4415310222062875,0.10175105583932069
test_seen,nose,157,0.1503662196771022,0.21756967972181027,0.06016978642244818
test_seen,paw,63,0.2519355513569381,0.36919459934154203,0.39371023254675996
test_seen,plant,35,0.26977351299886193,0.37740765496024065,0.3742564669677189
test_seen,pot,33,0.33953810302597104,0.4355350854721936,0.3347126856149936
test_seen,roof,7,0.2639365983860833,0.38106674275227953,0.2748789712786674
test_seen,saddle,28,0.20618745365313118,0.30910744464823176,0.5321698833057391
test_seen,screen,30,0.6523286294192076,0.7518831878900528,0.048761387648604174
test_seen,side,71,0.5339885483115492,0.6693863943219185,0.14264559709060357
test_seen,stern,50,0.44881766993552447,0.5845830723643303,0.3374620625004172
test_seen,tail,84,0.23668187341674984,0.33810089082856265,0.2986848941017386
test_seen,torso,298,0.45782197124384116,0.5756741115048327,0.1372340270130576
test_seen,upper arm,105,0.2944963183808362,0.40689662488709605,0.18964173775110835
test_seen,wheel,107,0.2095861290059287,0.30767483687219777,0.45402316845709756
test_seen,window,36,0.4774459435397552,0.6053841811501317,0.0625203534857266
test_seen,wing,50,0.3036797801405191,0.44717491686344146,0.26654862336814406
test_unseen,back,21,0.28683794822011677,0.3816051383813222,0.18298848596445857
test_unseen,beak,62,0.031354660829228734,0.04933177679777145,0.14860000557476474
test_unseen,door,24,0.020239870869166506,0.0362314192461781,0.10081458592321724
test_unseen,ear,100,0.2145801921235397,0.3081041968939826,0.23100621432065963
test_unseen,eye,148,0.08297489857854874,0.12947267181919633,0.03618377095365242
test_unseen,foot,33,0.040973145006732485,0.07378782642384368,0.42178554923245404
test_unseen,front,29,0.2999778362954485,0.3893183562262305,0.17225973365892622
test_unseen,handlebar,1,0.0,0.0,0.0
test_unseen,head,178,0.3476011020718718,0.47535673175478,0.183515982197472
test_unseen,headlight,39,0.026794645648736213,0.04275207080615636,0.02564102564102564
test_unseen,horn,4,0.13138575106859202,0.22706881910562512,0.38791749626398087
test_unseen,leg,122,0.19765682757276748,0.2945641991052563,0.26438814723772586
test_unseen,license plate,3,0.0,0.0,0.0
test_unseen,mirror,31,0.010055806818267992,0.015542357258739006,0.0630604047929087
test_unseen,muzzle,100,0.3413295642239973,0.4618847708683461,0.14672334298724307
test_unseen,neck,83,0.2448507366724402,0.3480767909302769,0.0976305261411401
test_unseen,nose,69,0.14078789525597857,0.19526962455416072,0.042138673405608396
test_unseen,paw,52,0.19878849537613297,0.289906821356943,0.40134500672754186
test_unseen,roof,14,0.07806166826880401,0.13606594303356748,0.24585505320075235
test_unseen,side,42,0.27755899177420706,0.39734659982579096,0.16160603160304682
test_unseen,tail,95,0.18709265556995217,0.26909823097337626,0.3488460561946819
test_unseen,torso,181,0.47288577445880486,0.6007686119876514,0.13606142448724465
test_unseen,wheel,78,0.3613252368492958,0.4888161673473242,0.16140476704384077
test_unseen,window,43,0.28033206291323487,0.38549765779875045,0.1609952372856178
test_unseen,wing,34,0.20911744658780446,0.3098329694612938,0.3764217561658691
