split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.2978003116365588,0.398007993247044,0.2122456883133832,0.2987549284425179,-0.0009546168059590965
Unseen,1586,0.2383881174537695,0.3285057436651932,0.1759989442895616,0.2213367598355101,0.017051357618259405
