experiment,split,samples,iou,dice,leakage,selected_epoch,validation_iou,validation_dice
baseline_object_mask,test_seen,3371,0.2987549284425179,0.3985779931246114,0.204554529543832,17,0.2844628837343758,0.3777276985855881
baseline_object_mask,test_unseen,1586,0.2213367598355101,0.3057214338336819,0.1788287018081875,17,0.2844628837343758,0.3777276985855881
fixed_uvd,test_seen,3371,0.3015577107198273,0.4020986450705764,0.1975239274593699,15,0.2875262783215398,0.3826798060436722
fixed_uvd,test_unseen,1586,0.2497998818859453,0.3398229164137589,0.1581640057259519,15,0.2875262783215398,0.3826798060436722
query_gated_uvd,test_seen,3371,0.3002251056971471,0.3990102500770153,0.1945186797197843,17,0.2886033852774541,0.383943250272202
query_gated_uvd,test_unseen,1586,0.2351290738375383,0.3231486423416145,0.1578767111815684,17,0.2886033852774541,0.383943250272202
rotation_consistent,test_seen,3371,0.3087927353341631,0.4105653839569907,0.184107198416428,19,0.2981248822348532,0.3958391596391363
rotation_consistent,test_unseen,1586,0.2760567374874718,0.3742062015383924,0.1521090605989071,19,0.2981248822348532,0.3958391596391363
geometry_dropout,test_seen,3371,0.2978003116365588,0.398007993247044,0.2122456883133832,17,0.2884557972850022,0.38321742728883
geometry_dropout,test_unseen,1586,0.2383881174537695,0.3285057436651932,0.1759989442895616,17,0.2884557972850022,0.38321742728883
