experiment,selected epoch,validation IoU,seen IoU,unseen IoU,seen Dice,unseen Dice,seen leakage,unseen leakage,seen−unseen IoU gap,Δ seen IoU vs baseline,Δ unseen IoU vs baseline
rotation_consistent,19,0.2981248822348532,0.3087927353341631,0.2760567374874718,0.4105653839569907,0.3742062015383924,0.184107198416428,0.1521090605989071,0.032735997846691345,0.01003780689164524,0.05471997765196168
query_gated_uvd,17,0.2886033852774541,0.3002251056971471,0.2351290738375383,0.3990102500770153,0.3231486423416145,0.1945186797197843,0.1578767111815684,0.0650960318596088,0.0014701772546292236,0.013792314002028211
geometry_dropout,17,0.2884557972850022,0.2978003116365588,0.2383881174537695,0.398007993247044,0.3285057436651932,0.2122456883133832,0.1759989442895616,0.059412194182789285,-0.0009546168059590965,0.017051357618259405
fixed_uvd,15,0.2875262783215398,0.3015577107198273,0.2497998818859453,0.4020986450705764,0.3398229164137589,0.1975239274593699,0.1581640057259519,0.051757828833882,0.0028027822773094013,0.02846312205043519
baseline_object_mask,17,0.2844628837343758,0.2987549284425179,0.2213367598355101,0.3985779931246114,0.3057214338336819,0.204554529543832,0.1788287018081875,0.07741816860700779,0.0,0.0
