split,query,samples,iou,dice,leakage
test_seen,back,5,0.7126871347427368,0.8274818420410156,0.09516525194048878
test_seen,body,110,0.5342767668803308,0.653245249255137,0.25583815970881413
test_seen,cap,53,0.2213218958591515,0.3014610397084704,0.2972966741489352
test_seen,chainwheel,32,0.16812874769675543,0.2615949576138519,0.4627351160161197
test_seen,coach,36,0.19293811610946754,0.22820262434025704,0.1427273008868926
test_seen,door,18,0.36262478224105305,0.4792112559080124,0.040802380652166875
test_seen,ear,237,0.24648629886369347,0.3444273567007941,0.23487806355557106
test_seen,engine,33,0.3529119536308854,0.48319599664572516,0.18829473578653325
test_seen,eye,217,0.11054688636728556,0.16649672194182324,0.02396579145363742
test_seen,eyebrow,65,0.02248376279066388,0.03937833220339738,0.0004175828698162815
test_seen,foot,55,0.15337644524194974,0.23029969226230274,0.48381437903100794
test_seen,front,60,0.5652019244929155,0.6916936387618383,0.14426522708187497
test_seen,hair,85,0.32269122678348244,0.421504605013658,0.2495398765922907
test_seen,hand,90,0.19025872967516383,0.2760690133656479,0.3159573701934682
test_seen,handlebar,34,0.09691738876897618,0.16620994589346294,0.6507013142108917
test_seen,head,331,0.39068424082790243,0.4979258626991365,0.1439288413599471
test_seen,headlight,33,0.11811639255646501,0.1888365890040542,0.04851815846720426
test_seen,hoof,20,0.10050950662698595,0.16981180226430295,0.6610686495900154
test_seen,horn,16,0.1404825332574546,0.2169579428154975,0.18719355831854043
test_seen,leg,222,0.2994711682452665,0.4220568465665696,0.29640924537697017
test_seen,license plate,3,0.0,0.0,0.0
test_seen,lower arm,103,0.23562335085295572,0.3328425870503037,0.2004714031631434
test_seen,mirror,25,0.10205510422587392,0.1587285304069519,0.16985987232998012
test_seen,mouth,76,0.12217869450289165,0.18225791143547548,0.045775728517726655
test_seen,muzzle,82,0.4605133188206975,0.578926229258863,0.2177844654112804
test_seen,neck,176,0.323219254635412,0.4400160691505086,0.08313258019254793
test_seen,nose,157,0.15442023695013513,0.22298036073186214,0.06405797330247369
test_seen,paw,63,0.2725898907298133,0.3999563707482247,0.35168936050363947
test_seen,plant,35,0.2852230966789648,0.38906224727231475,0.40168740754680976
test_seen,pot,33,0.3101882986075273,0.40888424765205744,0.35036423362114205
test_seen,roof,7,0.26503755577972954,0.3861471244267055,0.24583541229367253
test_seen,saddle,28,0.21615597592400654,0.30946941806801725,0.4533482843211719
test_seen,screen,30,0.6360377517839273,0.7417981450756391,0.028995940178477494
test_seen,side,71,0.5552761418823625,0.6870995447774169,0.13417133122262817
test_seen,stern,50,0.43900994677096605,0.569622450992465,0.30580214366316794
test_seen,tail,84,0.24616430280730128,0.3498808700325234,0.31472880850058227
test_seen,torso,298,0.45502759308708346,0.5754961801739527,0.13724194959606095
test_seen,upper arm,105,0.30163377488830256,0.4150056897086047,0.20485085379443171
test_seen,wheel,107,0.2078256663337576,0.3090185268464385,0.5175929546843623
test_seen,window,36,0.4894339486749636,0.6106292924119366,0.0620420955561308
test_seen,wing,50,0.3192604168131947,0.4664885679632425,0.2766751140728593
test_unseen,back,21,0.25944685425964137,0.34875129832930507,0.22300578578419628
test_unseen,beak,62,0.01978275369131757,0.03362473695268554,0.12411782500003615
test_unseen,door,24,0.03511686720109232,0.06154776589634515,0.11061423954864343
test_unseen,ear,100,0.1782063773553818,0.25351504132151603,0.22719898994546384
test_unseen,eye,148,0.10205827272069211,0.15504172293318286,0.013906663774537876
test_unseen,foot,33,0.022864001676101555,0.04250101956792852,0.46975415177417523
test_unseen,front,29,0.2206262165102465,0.28691895325379124,0.21886916779752433
test_unseen,handlebar,1,0.0798479095101356,0.1478873193264007,0.25
test_unseen,head,178,0.32857581986679457,0.45235508334760166,0.19016466165233525
test_unseen,headlight,39,0.024213079721308668,0.03964805340346617,0.02564102564102564
test_unseen,horn,4,0.21636027097702026,0.34985174238681793,0.3256700336933136
test_unseen,leg,122,0.19429691221811196,0.2873757335550121,0.2709715823799402
test_unseen,license plate,3,0.0,0.0,0.0
test_unseen,mirror,31,0.023324089064713442,0.037999766247887756,0.08868305649488203
test_unseen,muzzle,100,0.27185284278355537,0.3745853178575635,0.14075965244788674
test_unseen,neck,83,0.20215653682531542,0.2896431844165347,0.09140279397918245
test_unseen,nose,69,0.17936923419651776,0.2524735065905944,0.04478948790094127
test_unseen,paw,52,0.21053466976333696,0.305242041627375,0.36517831081381213
test_unseen,roof,14,0.08283673133701083,0.14441170995788913,0.1968904080401574
test_unseen,side,42,0.2804322604843903,0.4024806555050115,0.14834027012832282
test_unseen,tail,95,0.1644187472503338,0.24045676218076167,0.33577099135635713
test_unseen,torso,181,0.486050770266846,0.6129555294099804,0.14087456967475825
test_unseen,wheel,78,0.3463591174819531,0.47523556227007735,0.19808696123222125
test_unseen,window,43,0.15440739636027878,0.2265909954385702,0.1950098732418684
test_unseen,wing,34,0.03423989646698292,0.052906272878103386,0.46443020596223716
