split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.3015577107198273,0.4020986450705764,0.1975239274593699,0.2987549284425179,0.0028027822773094013
Unseen,1586,0.2497998818859453,0.3398229164137589,0.1581640057259519,0.2213367598355101,0.02846312205043519
