split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.2956087412164733,0.3947899568446013,0.2074103042775507,0.2956087412164733,0.0
Unseen,1586,0.2243190449779032,0.3085097013541464,0.1890837490598408,0.2243190449779032,0.0
