epoch,train_loss,train_iou,train_dice,train_leakage,val_loss,val_iou,val_dice,val_leakage,learning_rate,seconds,peak_gpu_memory_gb
1,1.0741963111498982,0.1393319236183435,0.20798216669578318,0.18787386288347846,0.9511333568968048,0.1616027076781889,0.24158953961302418,0.1707589624704795,0.001,57.19966912269592,0.7831087112426758
2,0.8962827749854309,0.20969120313558304,0.297534697566698,0.15256734807264152,0.8581204659987679,0.2290571572614719,0.31766509369996243,0.1239520513132102,0.001,54.366955041885376,0.7830095291137695
3,0.8348672343500602,0.2407372277816765,0.3356269203589899,0.14603067248735774,0.8197840560858561,0.24802312200252036,0.34293104876978114,0.13694226261160006,0.001,54.40296030044556,0.7830095291137695
4,0.7980844301946725,0.2605997739080949,0.3594639398842545,0.1407662399023857,0.8113993801731122,0.24101268539472434,0.3387957034309062,0.1680979947474139,0.001,54.445087909698486,0.7830095291137695
5,0.7736143855714923,0.2730628448326629,0.37396648024169593,0.13627739118489496,0.7987530012861167,0.26978460251642017,0.3656401695139071,0.13094255672175006,0.001,54.60624146461487,0.7830095291137695
6,0.7569025378175026,0.28305456024015324,0.3856527315720089,0.133838024579298,0.7871985322963587,0.2673823369150537,0.36392899453961475,0.13044609835104135,0.001,54.85071921348572,0.7830095291137695
7,0.7415088455686804,0.29212476762773953,0.39600714811112686,0.13044941932146337,0.7967697081699597,0.2670317682344165,0.3629848025056022,0.12162015905368675,0.001,54.38187217712402,0.7830095291137695
8,0.7276287458071877,0.30000135988312415,0.40504421176569666,0.12789300227319375,0.7756886250764421,0.2736460003829054,0.3724568426255398,0.13585499444214916,0.001,53.781898498535156,0.7830095291137695
9,0.7164681545163711,0.3070548674793735,0.41315889979087017,0.12716768076321494,0.7917251168331282,0.2657018311104728,0.36549238169399023,0.14166840561288846,0.001,53.77655816078186,0.7830095291137695
10,0.7061738923708811,0.3131623374820813,0.42031294392353824,0.12571341575617997,0.785963456414664,0.2792367726371512,0.37834668411856204,0.13188849276227088,0.001,53.765878677368164,0.7830095291137695
11,0.695903836375632,0.32028510054887066,0.42822786627161996,0.12365764443632662,0.7940080194797331,0.28221806086511414,0.3802772363669921,0.12380909018757016,0.001,54.64287304878235,0.7830095291137695
12,0.6855099806891894,0.32613693887895456,0.4350653030222086,0.12219344749677596,0.7831537219441567,0.28024683129584904,0.37878653321901445,0.1394283847065548,0.001,53.660658836364746,0.7830095291137695
13,0.6773736285714171,0.3311475226420337,0.4406300517362705,0.1216828211344707,0.7977109224150739,0.27917906557568456,0.37764534813943673,0.13675795827450746,0.001,54.252159118652344,0.7830095291137695
14,0.6671531620547125,0.3375136802495127,0.44794834568559727,0.1189299282473731,0.8043986226491301,0.28342208738851704,0.38075639550225504,0.13008465500550492,0.001,53.83332419395447,0.7830095291137695
15,0.6587798977395476,0.34273146578416713,0.45364396848753835,0.1190972070398977,0.823725387245063,0.2877399460759171,0.3829905063299685,0.11695289740011401,0.001,54.4239227771759,0.7830095291137695
16,0.6512634110374913,0.34770466366855585,0.4592529476414442,0.11829113606618169,0.8222035479519874,0.28271826549946555,0.3790252356354987,0.12534626958311054,0.001,55.012922286987305,0.7830095291137695
17,0.6422367005896821,0.35310231738990583,0.4652452815894403,0.11784133503356052,0.8558520369287962,0.286993978109046,0.38296978963295875,0.1279554876469743,0.001,55.076143741607666,0.7830095291137695
18,0.6358746689053819,0.35777339202585595,0.47011293938338,0.11634136463917463,0.8255926977597908,0.281452690595771,0.3791568395244651,0.1346522912367005,0.0005,54.516650438308716,0.7830095291137695
19,0.6041439028790737,0.37793083139950145,0.491422834148596,0.11052990141468251,0.8545425771509559,0.28637633656132505,0.38249425886212945,0.12406274507539558,0.0005,54.12863230705261,0.7830095291137695
20,0.5931846118423945,0.38612680749372863,0.5002021746311984,0.1090189577120185,0.8871045705441389,0.28804256114405463,0.3821847317609715,0.12214450947659045,0.0005,54.81085920333862,0.7830095291137695
