experiment,split,samples,iou,dice,leakage,selected_epoch,validation_iou,validation_dice
baseline_object_mask,test_seen,3371,0.29560874121647335,0.39478995684460133,0.20741030427755078,20,0.28804256114405463,0.3821847317609715
baseline_object_mask,test_unseen,1586,0.2243190449779032,0.3085097013541464,0.1890837490598408,20,0.28804256114405463,0.3821847317609715
