epoch,train_loss,train_iou,train_dice,train_leakage,val_loss,val_iou,val_dice,val_leakage,learning_rate,seconds,peak_gpu_memory_gb
1,1.0521024675921669,0.14484722276104206,0.21429143451860658,0.15725736755121122,0.928344599958891,0.17580307605390025,0.2566338338544582,0.1324503487367846,0.001,71.39019632339478,0.7728228569030762
2,0.8829153710617933,0.21394962801047332,0.30293529924750145,0.13585011047646708,0.8571814170675884,0.22603850446022572,0.31527542354219557,0.10344552372088968,0.001,58.93286371231079,0.736750602722168
3,0.8246309721066657,0.24544981948694575,0.34128449156245105,0.13422511527323897,0.8192394090316056,0.2469287054832249,0.3414404357440906,0.1206527838429201,0.001,58.093398094177246,0.736750602722168
4,0.7902936435517233,0.2644948315836252,0.36357609238513156,0.12896445647284915,0.7996788729613139,0.26313153046314897,0.36065976937354705,0.13697862315685874,0.001,57.899919271469116,0.736750602722168
5,0.7673644734249981,0.2758549255886255,0.37678055775931896,0.125650637473163,0.7892011665732086,0.2681389763195795,0.36558114533928476,0.13316220156004513,0.001,58.31900334358215,0.736750602722168
6,0.7501160990310317,0.2860182667288607,0.3886014447185824,0.12393101073351251,0.7836791566917682,0.26370874105147946,0.3612563204193064,0.11825345909904122,0.001,60.81834602355957,0.736750602722168
7,0.7359065186453125,0.29440715136329465,0.3984766289025784,0.1224818255789096,0.7917812154131029,0.2712764737096805,0.36785045113442655,0.11184247997875739,0.001,61.6234974861145,0.736750602722168
8,0.7220705160854628,0.3027617674421423,0.40797872758143555,0.12077275392312242,0.7820816037467125,0.2796975300720659,0.37684136177810007,0.11494848245057603,0.001,59.192777156829834,0.736750602722168
9,0.710522424460872,0.30957013988688875,0.4157084506518874,0.11930074098771938,0.7849801615475323,0.2808740768649946,0.3782197638719213,0.11283555906567373,0.001,59.90983843803406,0.736750602722168
10,0.6988157797599103,0.3168764247249861,0.4243802547298066,0.11957571536054597,0.8072576063093373,0.28193014279458,0.3775432931566701,0.11923333059317215,0.001,58.83672285079956,0.736750602722168
11,0.6886796295894411,0.32326562558556854,0.4313136902331023,0.1173478489645355,0.8216031326830966,0.2847554889038414,0.3812156299605339,0.11539575294013805,0.001,63.09666872024536,0.736750602722168
12,0.6793924100071336,0.32943470468287206,0.4384765738255752,0.11708494533282085,0.7955104099122452,0.28745191080943794,0.383492021169413,0.11766795778673186,0.001,63.35114336013794,0.736750602722168
13,0.6692045606621267,0.3352356050180597,0.44515593181043467,0.1164450346913431,0.7877468058463697,0.28371317118020506,0.38292711114806266,0.12670266421706675,0.001,59.29483366012573,0.736750602722168
14,0.6618094282257017,0.3399547115893413,0.45034895422509835,0.1150060855430965,0.806237406972414,0.2809872817501281,0.3781478336199459,0.1215246347419138,0.001,59.09235763549805,0.736750602722168
15,0.651177336932089,0.3462150046326522,0.45722199260506746,0.1141018011971009,0.8256912892433175,0.2853167479799532,0.38118834353324343,0.11951878948183378,0.0005,59.06404709815979,0.736750602722168
16,0.6196373768104778,0.36678049199001034,0.47912614924243135,0.10964282075981886,0.8319821941556796,0.28792341407529104,0.3844347581620998,0.12167541473348421,0.0005,59.84767723083496,0.736750602722168
17,0.6073171164407752,0.37526735492792107,0.4882181288652941,0.10738007623439792,0.8881827941347223,0.28860338527745416,0.383943250272202,0.11714090464763272,0.0005,60.308382987976074,0.736750602722168
