split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.3002251056971471,0.3990102500770153,0.1945186797197843,0.2987549284425179,0.0014701772546292236
Unseen,1586,0.2351290738375383,0.3231486423416145,0.1578767111815684,0.2213367598355101,0.013792314002028211
