split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.302784999955777,0.4030111427691709,0.1746730589455172,0.2956087412164733,0.00717625873930372
Unseen,1586,0.2712108779311489,0.368338894543225,0.1536260917023992,0.2243190449779032,0.0468918329532457
