split,query,samples,iou,dice,leakage
test_seen,back,5,0.7059269428253174,0.8223313570022583,0.07457990720868106
test_seen,body,110,0.5612637420269576,0.6814708598635414,0.2359192318537018
test_seen,cap,53,0.20002043570549982,0.27231366278709107,0.23352143799288655
test_seen,chainwheel,32,0.1270946197910234,0.19713658187538385,0.35257589910179377
test_seen,coach,36,0.19147367557646547,0.2223881972838878,0.1191992468407584
test_seen,door,18,0.311679206478099,0.44633236351526445,0.05265306607018117
test_seen,ear,237,0.25521105882330536,0.35075186186308976,0.22229058857229123
test_seen,engine,33,0.32942202258290665,0.4601076315298225,0.1746287495885608
test_seen,eye,217,0.10577434728411346,0.15753891325045016,0.021242710229541575
test_seen,eyebrow,65,0.018114674893709323,0.031712847546889224,0.0
test_seen,foot,55,0.1372396515513008,0.20554915089160203,0.3655500728975643
test_seen,front,60,0.5370208855427336,0.66573700705776,0.11951344745854532
test_seen,hair,85,0.3483961527865818,0.4504691621124306,0.19061634475913114
test_seen,hand,90,0.21138936737552286,0.30247629907810025,0.2798983777873218
test_seen,handlebar,34,0.07938761121648197,0.13532129001310642,0.6002055836074492
test_seen,head,331,0.39067900850415777,0.5043109949174185,0.13699026531406205
test_seen,headlight,33,0.08900074526724036,0.14609271254051812,0.030343043448572797
test_seen,hoof,20,0.04413609020411967,0.07600694820284842,0.5179740268737077
test_seen,horn,16,0.15480473072966558,0.24045640113763508,0.26178363274084404
test_seen,leg,222,0.3339431940269581,0.4631399119580647,0.27404386422865357
test_seen,license plate,3,0.0,0.0,0.0
test_seen,lower arm,103,0.22639587464588645,0.33052849324727523,0.19563210925575594
test_seen,mirror,25,0.07973995991051196,0.12693389922380446,0.07234523177146912
test_seen,mouth,76,0.12167174405859489,0.17906169951158135,0.02109440337670477
test_seen,muzzle,82,0.4590991392686236,0.5777869324495153,0.14350760574722318
test_seen,neck,176,0.32985342857798305,0.4523237307386642,0.07006724731135444
test_seen,nose,157,0.15665151768476718,0.22878147336612842,0.04703370501898277
test_seen,paw,63,0.2816083472044695,0.4017451415577578,0.3075903715004051
test_seen,plant,35,0.28642812169689147,0.39586839663929174,0.3687760033777782
test_seen,pot,33,0.32991387807961664,0.41437786614353006,0.16419394184468367
test_seen,roof,7,0.1408810277602502,0.23858066488589552,0.10474218055605881
test_seen,saddle,28,0.21956984964864595,0.31206909141370226,0.38451563141175676
test_seen,screen,30,0.6619750529527664,0.7648614451289177,0.06194056287955995
test_seen,side,71,0.5281238461988913,0.6641365415613416,0.13022915816957678
test_seen,stern,50,0.4648162940144539,0.6005990020185709,0.2766541056707501
test_seen,tail,84,0.2758549319225408,0.38614718868796316,0.2521483087635022
test_seen,torso,298,0.4748544249905413,0.5963629171120014,0.12300848725545621
test_seen,upper arm,105,0.3116702432112236,0.43404198457220833,0.16250406705463924
test_seen,wheel,107,0.17176480512961603,0.2520417565323203,0.3842191920076088
test_seen,window,36,0.5095159639086988,0.6469429464389881,0.06178311043832861
test_seen,wing,50,0.3308811463415623,0.47492488611489536,0.24633272484876212
test_unseen,back,21,0.298002771101892,0.40607731682913645,0.11001728849840305
test_unseen,beak,62,0.10368293480226587,0.16152138920921472,0.2749613985239017
test_unseen,door,24,0.04625966269910955,0.08079760381951925,0.050777646504381345
test_unseen,ear,100,0.21308912419714032,0.3031368337292224,0.18211644454393533
test_unseen,eye,148,0.09847831575678208,0.14861206983442646,0.013576512162045046
test_unseen,foot,33,0.02373202396274514,0.04211509047132548,0.35424283880627516
test_unseen,front,29,0.3638498852157901,0.46162227888045637,0.1562731387093663
test_unseen,handlebar,1,0.1553316563367843,0.2688953578472137,0.3267857134342193
test_unseen,head,178,0.36245496362824453,0.4941550177113896,0.1519694577345331
test_unseen,headlight,39,0.11383468096550456,0.17008176541481262,0.023460320101525538
test_unseen,horn,4,0.06617080420255658,0.11894159391522408,0.4595561847090721
test_unseen,leg,122,0.21102623732714743,0.30768380429572806,0.2649972411788633
test_unseen,license plate,3,0.0,0.0,0.0
test_unseen,mirror,31,0.0,0.0,0.04735542881873346
test_unseen,muzzle,100,0.36195246534887704,0.4818236527126282,0.07557180761126799
test_unseen,neck,83,0.28726283673208247,0.40389491051031523,0.07695580370189811
test_unseen,nose,69,0.18062859024528577,0.24529551406917366,0.025634087743642536
test_unseen,paw,52,0.25954297386432207,0.3734681934583932,0.38689327755799663
test_unseen,roof,14,0.05044470142040929,0.09399202332964961,0.11003565106407867
test_unseen,side,42,0.30187253928965047,0.4300188731978692,0.1556883893485757
test_unseen,tail,95,0.20471927641743892,0.29107948992597427,0.30289590576369513
test_unseen,torso,181,0.5210389836841823,0.6523393687511696,0.1259589238164339
test_unseen,wheel,78,0.4349406509218403,0.5602631851887474,0.14858391199213186
test_unseen,window,43,0.3822021060731522,0.5084963842013548,0.13892511020246673
test_unseen,wing,34,0.30895798111005734,0.4418971235042109,0.2839738092220881
