split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.3087927353341631,0.4105653839569907,0.184107198416428,0.2987549284425179,0.01003780689164524
Unseen,1586,0.2760567374874718,0.3742062015383924,0.1521090605989071,0.2213367598355101,0.05471997765196168
