experiment,selected epoch,validation IoU,seen IoU,unseen IoU,seen Dice,unseen Dice,seen leakage,unseen leakage,seen−unseen IoU gap,Δ seen IoU vs baseline,Δ unseen IoU vs baseline
rotation_consistent,14,0.2937194884884319,0.302784999955777,0.2712108779311489,0.4030111427691709,0.368338894543225,0.1746730589455172,0.1536260917023992,0.031574122024628115,0.00717625873930372,0.0468918329532457
fixed_uvd,15,0.291171250597623,0.301535117667274,0.2493112175373989,0.3999924175362872,0.338153013212333,0.1842315724342187,0.1511887449695818,0.05222390012987507,0.0059263764508006855,0.024992172559495707
query_gated_uvd,15,0.2908936964213334,0.3028356954106147,0.2455546853458743,0.4019789794795682,0.3338142069168054,0.1942538363662798,0.1564815962492399,0.05728101006474043,0.007226954194141433,0.021235640367971098
baseline_object_mask,20,0.2880425611440546,0.2956087412164733,0.2243190449779032,0.3947899568446013,0.3085097013541464,0.2074103042775507,0.1890837490598408,0.0712896962385701,0.0,0.0
geometry_dropout,17,0.2877624893346007,0.2972487969318657,0.2415191099013308,0.3985030756805136,0.3325683936923871,0.2144411037247655,0.174579539177973,0.05572968703053488,0.0016400557153923856,0.0172000649234276
