experiment,split,samples,iou,dice,leakage,selected_epoch,validation_iou,validation_dice
geometry_dropout,test_seen,3371,0.29724879693186573,0.3985030756805136,0.2144411037247655,17,0.28776248933460075,0.3850336897045277
geometry_dropout,test_unseen,1586,0.24151910990133088,0.33256839369238717,0.17457953917797306,17,0.28776248933460075,0.3850336897045277
