epoch,train_loss,train_iou,train_dice,train_leakage,val_loss,val_iou,val_dice,val_leakage,learning_rate,seconds,peak_gpu_memory_gb
1,1.0513471625209825,0.14511000941001256,0.2146450146448297,0.15654907487165914,0.9493603209975983,0.16546086815890113,0.2440532648608394,0.14468956042679898,0.001,65.45063829421997,0.7728228569030762
2,0.8824204973608968,0.21446303860300053,0.30365422790320584,0.13636463375947697,0.8507884366612604,0.22991045642374916,0.3216848060761969,0.11746441791921114,0.001,55.3972532749176,0.736750602722168
3,0.824522186739451,0.2453060143461059,0.34113915261735434,0.13369867963688703,0.8077298803365475,0.2470885315486014,0.343152345544955,0.1320482602638334,0.001,54.03755569458008,0.736750602722168
4,0.7904462927167544,0.26433273885758896,0.3634425357974876,0.12934566685139562,0.8014881612799314,0.2597319980382019,0.3574089848043592,0.14608583617814794,0.001,54.06661510467529,0.736750602722168
5,0.7662644398687112,0.27652606947559544,0.3776300087807207,0.12635603926187663,0.7908714866946817,0.2687862145412058,0.3666687572240315,0.12610395088743623,0.001,54.77219486236572,0.736750602722168
6,0.7506857029421482,0.28557996956109855,0.388125348729317,0.12415512202376966,0.7844283358307461,0.26656105354058574,0.36347931798672084,0.11278069677572806,0.001,55.00937461853027,0.736750602722168
7,0.7358150445282572,0.2945630735995077,0.3985524507092149,0.12433516237805237,0.7888265698987432,0.2687472105186991,0.36618835669505173,0.11638943848181053,0.001,54.40298247337341,0.736750602722168
8,0.7222727401022211,0.3025738219260309,0.4078383523339897,0.12097478567676889,0.7824828779041574,0.27851279786393096,0.3762577174687527,0.11097420470541927,0.001,53.89043402671814,0.736750602722168
9,0.7108892275037456,0.3097306378834012,0.41598704629864514,0.12038462345369712,0.7849004208205715,0.2800990126970774,0.37789396073633025,0.1110292590165987,0.001,54.501606702804565,0.736750602722168
10,0.6994246270169657,0.31646679924568916,0.42376535093137574,0.11871160829716616,0.8029069353976038,0.28149871775697605,0.377958687667322,0.119153112928587,0.001,54.243257999420166,0.736750602722168
11,0.6883228341332488,0.32385024524707007,0.432019223083494,0.11855267675675411,0.80253037344162,0.28581317763739417,0.3823499752544148,0.11414096254891562,0.001,54.483315229415894,0.736750602722168
12,0.6791818030449701,0.32935668538470425,0.4384030376496217,0.11738964908569713,0.7825082208732185,0.28279946631116004,0.3804290646198884,0.12386293946378568,0.001,55.58700704574585,0.736750602722168
13,0.6687651659904383,0.33599743685800226,0.4457463165005162,0.11744376393674773,0.7987541204645925,0.28281403709898234,0.38039681758277494,0.11330369253117419,0.001,54.860981464385986,0.736750602722168
14,0.6605966663687256,0.34099597177947943,0.4515731502026985,0.11522086343081851,0.8000162737655022,0.2821676056016289,0.37861619100472943,0.10912779101372537,0.0005,54.53310418128967,0.736750602722168
15,0.6275525874439398,0.36192644663969453,0.4737574031986777,0.11066126466154368,0.84068079853778,0.2908936964213334,0.38623487541880036,0.11176024350822937,0.0005,54.66059184074402,0.736750602722168
16,0.615140069551122,0.3706816402066555,0.48308656095211583,0.10948294111905695,0.8538129874932084,0.2883999588564762,0.3843234459092959,0.11538874929391064,0.0005,54.26130485534668,0.736750602722168
17,0.6079613972974557,0.37576293674067435,0.4886607814818772,0.10893979794293673,0.8690740632650793,0.28905027188529475,0.3839275497127377,0.1197610158903249,0.0005,54.89928078651428,0.736750602722168
18,0.6008449264444469,0.38029185555616907,0.49366505031440155,0.10771514612654312,0.8813417433663608,0.2849736374590904,0.3810549173926073,0.120078817781507,0.00025,54.47903060913086,0.736750602722168
19,0.5821100728534706,0.3933087577658827,0.5070802819379587,0.10564254249234013,0.9038222023841505,0.2869498919948791,0.3808431474104154,0.11080708981621226,0.00025,54.28776717185974,0.736750602722168
20,0.5749453427055297,0.3987866832696813,0.5128612409721377,0.103885179011453,0.9525396638703578,0.28492742279160693,0.37827020539161715,0.11577325293386381,0.00025,54.47610783576965,0.736750602722168
