split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.3028356954106147,0.4019789794795682,0.1942538363662798,0.2956087412164733,0.007226954194141433
Unseen,1586,0.2455546853458743,0.3338142069168054,0.1564815962492399,0.2243190449779032,0.021235640367971098
