epoch,train_loss,train_iou,train_dice,train_leakage,val_loss,val_iou,val_dice,val_leakage,learning_rate,seconds,peak_gpu_memory_gb
1,1.0399519155802615,0.15044785359798832,0.22176184645187502,0.15846759724343357,0.909471930295004,0.18725620137031282,0.26908337979897967,0.12611459254286178,0.001,71.94716215133667,0.7831087112426758
2,0.8721001909314197,0.22004271247765692,0.31051826476002625,0.1374285007219223,0.8438234543337405,0.23767093362481592,0.33051145105686003,0.12475844873708171,0.001,53.840384006500244,0.7830095291137695
3,0.813265858531268,0.25100268428661354,0.34806143436816733,0.13310726943621054,0.7993103713922387,0.2514950992075371,0.3475666216372672,0.12309443687833242,0.001,53.31700134277344,0.7830095291137695
4,0.7821912113676247,0.26849980635561776,0.36867496582906,0.1294511570815375,0.79467556558895,0.2521540118941983,0.3511639946937047,0.15089727152930624,0.001,54.55482888221741,0.7830095291137695
5,0.7614910059022177,0.2798713213756213,0.382032371755295,0.12693185921788547,0.7823480333582354,0.27089387273261206,0.3688280305462491,0.13228508183871274,0.001,54.23854613304138,0.7830095291137695
6,0.744883307689366,0.28954593816206897,0.3931046908977557,0.1250142794682563,0.7805711315802129,0.2658359366986487,0.36249238323368044,0.11698830466890284,0.001,53.662991762161255,0.7830095291137695
7,0.7290455775929121,0.2987175277089138,0.40369820712819304,0.12433124260468326,0.7757152978656361,0.27280231501742347,0.3712821334053912,0.11889485518941344,0.001,53.43998050689697,0.7830095291137695
8,0.7175192137607865,0.30593043581062346,0.4118804580298059,0.12163549665640999,0.7705924069868579,0.28088777104016904,0.3813336661654126,0.12477475881351494,0.001,53.27761745452881,0.7830095291137695
9,0.7053373378492275,0.31360856997689074,0.42064493217444165,0.12129990926951295,0.7722818430959214,0.28068300560840126,0.38003040478839073,0.1180638147371358,0.001,54.32851576805115,0.7830095291137695
10,0.6944706953186546,0.32010079608578823,0.42810183310882055,0.11979995249585502,0.7831509478526851,0.2839314636353407,0.3835448751782651,0.12371063939704607,0.001,53.550559520721436,0.7830095291137695
11,0.6830794147573354,0.32741461387358134,0.43629883264093866,0.11823144303875725,0.7952766403025407,0.2872371500138969,0.3857151702962647,0.11975313390342934,0.001,53.21326756477356,0.7830095291137695
12,0.6743602272465117,0.33263441703175034,0.442303539319566,0.11598848279198604,0.7955685448878019,0.2870516772135819,0.3839208882346251,0.1218042424493173,0.001,53.7283821105957,0.7830095291137695
13,0.6648284293758124,0.3387252978264604,0.4490700083571083,0.116159826647071,0.7950249100194394,0.2877831389844225,0.38743846174711294,0.12267286916782812,0.001,53.39300227165222,0.7830095291137695
14,0.6560580697516957,0.3443183015665809,0.45530856385917295,0.11528829778605272,0.8102264787515518,0.2833075249224033,0.3794662388847355,0.11688315018834677,0.001,53.973244190216064,0.7830095291137695
15,0.6469351056227444,0.3492684868856544,0.4607743017570973,0.11421321173808276,0.8444185655608275,0.29117125059762305,0.38621247740625175,0.10494549086210926,0.001,54.658711194992065,0.7830095291137695
16,0.6396171086366348,0.35413829000019953,0.4662938916221643,0.11333999628354022,0.824086714716791,0.27743749907230225,0.37705159269297395,0.13951169914026476,0.001,55.32002854347229,0.7830095291137695
17,0.6318562248809103,0.3593557905210939,0.47205543001096645,0.11202548176170496,0.8427547678078134,0.28723868885215176,0.38505068248561797,0.12576501011173316,0.001,53.43302130699158,0.7830095291137695
18,0.6242941525800708,0.36451823954276263,0.4775481044542491,0.11170599446983727,0.8430469154411406,0.2832128393675774,0.38097776609202677,0.1276400621574545,0.0005,53.459877729415894,0.7830095291137695
19,0.5943169288077014,0.3843386271392339,0.49846017346468763,0.10780339758972836,0.9062123432385755,0.29013198556251896,0.385875157365915,0.12014276277928934,0.0005,53.67185401916504,0.7830095291137695
20,0.5825189608351172,0.3928822952094403,0.5072860420552282,0.10560288383930838,0.9265696367142399,0.28839488284905496,0.3827590901231817,0.11377731848512138,0.0005,53.58005881309509,0.7830095291137695
