split,samples,IoU,Dice,Leakage (lower is better),Baseline IoU,IoU delta vs baseline
Seen,3371,0.301535117667274,0.3999924175362872,0.1842315724342187,0.2956087412164733,0.0059263764508006855
Unseen,1586,0.2493112175373989,0.338153013212333,0.1511887449695818,0.2243190449779032,0.024992172559495707
