split,query,samples,iou,dice,leakage
test_seen,back,5,0.5960488140583038,0.7214254021644593,0.0942031174898147
test_seen,body,110,0.550604910640554,0.6684530711309477,0.209524041312662
test_seen,cap,53,0.21727699252232066,0.29209077878380724,0.31072532949652876
test_seen,chainwheel,32,0.14312980023532873,0.20926776704436634,0.4355647689662874
test_seen,coach,36,0.21076384721204197,0.24129032573869658,0.1079009729954931
test_seen,door,18,0.33144087841113407,0.4692064407798979,0.0472030442130441
test_seen,ear,237,0.25091670036614566,0.3486885867407742,0.21027638088864617
test_seen,engine,33,0.34317750009623443,0.473002347982291,0.20751488278619942
test_seen,eye,217,0.10672767084812924,0.1582066944289592,0.010618756982296154
test_seen,eyebrow,65,0.016852344085390745,0.029737633581344892,0.0
test_seen,foot,55,0.1411793678998947,0.21331007206304506,0.4832449973984198
test_seen,front,60,0.5353190475609153,0.6647442856027435,0.12141524115577336
test_seen,hair,85,0.3324694927672253,0.4355861259733929,0.2433072941816028
test_seen,hand,90,0.1743726317072287,0.24913756483130986,0.2793963487363524
test_seen,handlebar,34,0.07764731750220932,0.13499001849114015,0.572430810507606
test_seen,head,331,0.39978544467608546,0.5101189964501541,0.1345298784933393
test_seen,headlight,33,0.11222191916948014,0.17882540743007802,0.03740109342404385
test_seen,hoof,20,0.10135626723058519,0.16685875132679936,0.6342801049351692
test_seen,horn,16,0.16054426110349593,0.24410788156092164,0.2516325949691236
test_seen,leg,222,0.30864006144871414,0.4330121501944624,0.2719943725990618
test_seen,license plate,3,0.0,0.0,0.1315789520740509
test_seen,lower arm,103,0.22531763348475242,0.3197103666810735,0.23758908528924996
test_seen,mirror,25,0.08247384965419767,0.13214360170066355,0.07613335134461523
test_seen,mouth,76,0.11941517916459002,0.17482611610505142,0.017981455042517105
test_seen,muzzle,82,0.4588700677722511,0.5769819633285629,0.16259834999729672
test_seen,neck,176,0.31654602371219714,0.4313075699187307,0.05443043886208958
test_seen,nose,157,0.1632048018324147,0.23620474225823668,0.05214936972542363
test_seen,paw,63,0.2514880148043472,0.3680466018203232,0.33424740621731397
test_seen,plant,35,0.2861705835908651,0.39507934749126433,0.3546364283987454
test_seen,pot,33,0.32692439679169294,0.42849162062912277,0.2761754820292646
test_seen,roof,7,0.283744355397565,0.41438909087862286,0.2458725518413952
test_seen,saddle,28,0.18841132774416888,0.2705170424388988,0.372757581195661
test_seen,screen,30,0.675331159432729,0.7747942090034485,0.04016368167552474
test_seen,side,71,0.5475776168766996,0.6783147367163443,0.10142349493755416
test_seen,stern,50,0.47121651351451876,0.6019522611051797,0.3159716263413429
test_seen,tail,84,0.2545098265233849,0.3598355602561718,0.27414226741529996
test_seen,torso,298,0.47604213249045363,0.5930089891506141,0.12198165102725869
test_seen,upper arm,105,0.31667110755418737,0.4267298888592493,0.16769987998108954
test_seen,wheel,107,0.2163911162294604,0.32085434167436977,0.47834628506206744
test_seen,window,36,0.4773899336190273,0.6021260884590447,0.03798443750646479
test_seen,wing,50,0.31723087616264817,0.45846672765910623,0.27332137715071436
test_unseen,back,21,0.22697837691937037,0.32372435987538967,0.1384809827875523
test_unseen,beak,62,0.0029926893917182713,0.005607253120791524,0.05099596653974826
test_unseen,door,24,0.07113148343826951,0.12452846971185255,0.07693730066239365
test_unseen,ear,100,0.19565890640020367,0.28196585471741853,0.18156277439557017
test_unseen,eye,148,0.09075026665310802,0.13715337299918,0.0032179983446022128
test_unseen,foot,33,0.01913737849981495,0.03325474160638721,0.3025194535201246
test_unseen,front,29,0.3373493838348779,0.436696901660541,0.24968066329843008
test_unseen,handlebar,1,0.2180645167827606,0.3580508530139923,0.4869185984134674
test_unseen,head,178,0.3506721410366675,0.4763983201518069,0.1637403459832323
test_unseen,headlight,39,0.14650505997288302,0.20728598677147275,0.026998515360248394
test_unseen,horn,4,0.1232296882662922,0.19673485937528312,0.3113177493214607
test_unseen,leg,122,0.217358527341514,0.3179622995533568,0.2889344687306429
test_unseen,license plate,3,0.0,0.0,0.0
test_unseen,mirror,31,0.04116702579983298,0.0668374772273725,0.10856674769292433
test_unseen,muzzle,100,0.30386604197323325,0.41684177932329475,0.1245344272465445
test_unseen,neck,83,0.26510210397529854,0.36982569490637945,0.07600687376429682
test_unseen,nose,69,0.19091471657156944,0.26509332285681064,0.04939327227032703
test_unseen,paw,52,0.2437996945988673,0.35134571174589485,0.3636490919698889
test_unseen,roof,14,0.07479360210709271,0.12402866674321035,0.1147524049572114
test_unseen,side,42,0.3019769335376276,0.42212400439062286,0.15595132074806659
test_unseen,tail,95,0.10193410102572094,0.14558183332218935,0.22142105208415735
test_unseen,torso,181,0.5311214181759204,0.6596705442891349,0.13063574521879542
test_unseen,wheel,78,0.4253787504664312,0.5480533010469606,0.2101812839078215
test_unseen,window,43,0.3306706474964009,0.4494004480887291,0.07907212902466915
test_unseen,wing,34,0.10330854367930441,0.15641382897464445,0.34574680057737756
